time,ax,ay,az,wx,wy,wz,Bx,By,Bz
2023-10-17 22:19:30.7190,0.0,-0.01,-0.13,-0.05,0.05,0.01,6.54,102.89,-626.82
2023-10-17 22:19:30.7280,-0.02,-0.04,-0.11,-0.07,0.03,0.01,6.19,102.38,-627.03
2023-10-17 22:19:30.7380,-0.01,-0.02,-0.05,-0.08,0.02,0.01,6.39,102.45,-626.66
2023-10-17 22:19:30.7490,0.0,0.0,0.02,-0.09,0.03,0.02,6.37,102.36,-627.13
2023-10-17 22:19:30.7590,0.02,0.02,-0.03,-0.09,0.04,0.02,6.44,103.03,-627.3
2023-10-17 22:19:30.7690,-0.01,0.01,-0.09,-0.09,0.02,0.01,6.09,102.65,-626.82
2023-10-17 22:19:30.7790,-0.02,-0.01,-0.06,-0.09,0.02,0.01,6.39,103.05,-626.98
2023-10-17 22:19:30.7890,0.01,-0.01,0.03,-0.09,0.03,0.01,6.34,102.49,-627.73
2023-10-17 22:19:30.7990,0.02,-0.02,0.06,-0.11,0.07,0.01,6.37,102.31,-626.31
2023-10-17 22:19:30.8090,0.01,0.02,-0.01,-0.13,0.08,0.03,6.14,102.23,-626.9
2023-10-17 22:19:30.8190,-0.04,0.03,-0.08,-0.13,0.1,0.02,6.14,102.23,-626.9
2023-10-17 22:19:30.8290,-0.08,0.0,-0.09,-0.12,0.1,-0.02,6.37,102.29,-626.59
2023-10-17 22:19:30.8390,-0.02,0.05,-0.03,-0.11,0.04,-0.03,6.1,102.09,-626.71
2023-10-17 22:19:30.8490,0.02,-0.09,-0.05,-0.11,-0.01,-0.01,6.46,102.13,-626.41
2023-10-17 22:19:30.8590,0.07,0.01,0.08,-0.15,0.04,0.02,6.34,102.15,-626.37
2023-10-17 22:19:30.8690,-0.05,0.08,0.02,-0.17,0.01,0.0,5.96,102.05,-626.81
2023-10-17 22:19:30.8790,-0.13,0.05,-0.23,-0.18,-0.01,-0.01,5.97,102.06,-626.76
2023-10-17 22:19:30.8900,0.01,0.07,-0.14,-0.21,0.02,-0.0,6.16,102.44,-626.73
2023-10-17 22:19:30.9000,0.02,0.03,-0.11,-0.24,0.03,-0.02,5.86,102.06,-626.77
2023-10-17 22:19:30.9100,-0.02,-0.04,-0.27,-0.25,0.02,0.01,6.1,102.33,-626.85
2023-10-17 22:19:30.9200,0.01,0.05357686758041382,-0.12,-0.27,0.04,0.03,6.25,102.02,-626.86
2023-10-17 22:19:30.9300,-0.05,0.05,-0.12,-0.24,0.01,0.0,6.19,101.94,-626.94
2023-10-17 22:19:30.9400,-0.07,0.17,-0.12,-0.18,-0.02,0.0,6.38,101.98,-627.06
